train_losses,train_fscores,train_accs,val_losses,val_fscores,val_accs,test_losses,test_fscores,test_accs
2.4651,18.65,16.14,1.9336,33.75,29.88,1.9339,29.05,25.33
2.294,21.98,18.64,1.8947,35.33,30.16,1.9107,30.0,25.13
2.239,23.13,19.47,1.877,42.62,39.5,1.8771,36.77,33.03
2.1974,25.53,21.4,1.8375,43.79,39.5,1.8567,37.1,32.76
2.1159,26.76,22.58,1.8146,46.76,43.79,1.8352,40.08,36.21
2.11,28.5,23.96,1.8048,49.54,46.97,1.8184,42.35,39.27
2.0675,30.24,25.62,1.768,49.95,46.59,1.8081,43.6,39.96
2.0384,32.25,27.54,1.7755,50.73,48.83,1.7844,45.49,42.8
1.9938,33.87,29.21,1.7532,52.69,50.42,1.7736,45.76,43.26
1.9656,35.97,31.17,1.7456,52.17,49.49,1.7606,46.34,43.41
1.9488,36.66,31.94,1.7152,54.56,52.1,1.7539,47.62,45.1
1.9375,38.36,33.41,1.7075,53.2,50.51,1.7439,46.7,43.98
1.9064,38.37,33.56,1.6877,55.48,52.47,1.736,48.07,44.83
1.8816,40.29,35.42,1.6779,57.55,55.37,1.7297,49.12,46.82
1.8552,42.28,37.61,1.6619,55.89,52.47,1.7248,49.03,45.52
1.8456,41.99,37.11,1.6666,57.52,55.09,1.7154,49.45,47.01
1.8269,43.53,39.23,1.6321,58.78,56.68,1.7199,50.5,48.24
1.809,44.65,40.13,1.6309,57.95,54.81,1.7116,50.68,47.66
1.8054,44.08,39.37,1.6287,57.28,54.06,1.7001,49.23,45.94
1.7947,46.25,41.8,1.6207,59.86,58.26,1.6997,52.01,50.96
1.7722,46.14,41.82,1.613,60.4,58.17,1.693,51.26,49.12
1.7602,48.01,43.88,1.6141,60.23,58.26,1.6924,51.85,50.54
1.7579,48.63,44.13,1.5925,60.24,57.42,1.6877,50.77,48.12
1.7547,47.86,43.65,1.599,61.22,58.82,1.6833,52.06,50.15
1.7434,48.55,43.99,1.594,59.95,57.52,1.6759,51.54,49.66
1.7156,49.77,45.7,1.5734,60.96,58.17,1.6824,52.24,49.85
1.7175,49.98,45.83,1.5594,61.1,57.98,1.6866,51.98,49.08
1.6996,50.52,46.44,1.5763,61.99,60.32,1.6712,52.72,51.26
1.6931,51.77,47.77,1.5585,61.66,59.01,1.6727,52.65,50.19
1.6742,52.17,48.27,1.5547,61.24,58.45,1.6741,52.79,50.42
1.6779,51.84,47.5,1.5687,62.82,61.34,1.6687,53.72,52.57
1.672,52.41,48.49,1.5511,61.71,59.1,1.6666,52.74,50.57
1.6791,52.81,49.03,1.5454,61.42,58.45,1.6682,52.86,50.5
1.6455,53.73,49.72,1.5295,60.97,57.24,1.6805,52.76,49.5
1.6656,53.73,49.51,1.5382,62.75,60.13,1.6636,53.49,51.46
1.6501,54.14,50.56,1.5219,61.3,57.89,1.6665,52.54,49.69
1.6589,54.02,50.11,1.5403,61.97,59.1,1.6626,52.91,50.8
1.6462,54.46,50.83,1.5282,62.06,59.29,1.6597,53.16,51.07
1.6392,54.84,50.95,1.5211,63.13,61.25,1.6693,54.15,52.84
1.6352,55.74,52.14,1.5303,62.27,60.04,1.6654,53.81,52.45
1.6219,54.97,51.39,1.5035,62.83,59.85,1.6634,53.64,51.07
1.6327,55.61,51.76,1.5178,62.72,60.22,1.6564,54.31,52.3
1.6076,55.72,52.03,1.5125,62.88,60.6,1.6591,54.01,52.38
1.6273,55.98,52.46,1.4995,63.13,60.22,1.6621,54.35,52.11
1.6096,56.12,52.5,1.5059,63.79,61.81,1.6661,55.03,53.68
1.5991,56.82,53.39,1.4981,64.12,61.81,1.6576,54.88,53.14
1.6021,56.25,52.9,1.4899,63.85,60.97,1.657,54.52,52.3
1.5971,56.66,52.94,1.5014,63.12,60.69,1.656,54.56,52.99
1.5991,56.59,53.14,1.4996,63.67,61.53,1.6564,54.62,52.91
1.5882,57.52,54.07,1.4936,64.25,62.65,1.6595,55.71,54.41
