train_losses,train_fscores,train_accs,val_losses,val_fscores,val_accs,test_losses,test_fscores,test_accs
2.0331,29.97,31.31,1.567,30.85,47.34,1.5694,31.67,48.01
1.7582,34.84,40.6,1.4734,33.12,47.9,1.4944,34.97,48.89
1.7295,35.82,41.25,1.449,32.97,48.09,1.4716,35.2,49.35
1.6775,37.86,43.22,1.42,33.95,48.46,1.4453,36.39,49.92
1.6437,38.71,44.41,1.3935,34.82,48.83,1.4276,37.87,50.61
1.623,39.51,45.5,1.3642,38.46,50.7,1.4091,39.35,51.07
1.5785,40.24,45.9,1.3455,39.08,51.07,1.3939,40.25,51.61
1.5646,40.65,46.3,1.3234,40.85,52.19,1.3795,41.63,52.41
1.5347,41.5,47.33,1.304,43.25,53.59,1.3653,42.63,52.68
1.5146,42.47,47.97,1.2916,42.67,53.22,1.357,43.1,53.14
1.489,42.74,48.55,1.2709,45.42,54.9,1.3452,44.22,53.56
1.4694,43.5,49.36,1.2564,47.08,55.84,1.3343,45.13,54.06
1.4623,44.53,50.27,1.246,47.31,56.02,1.3271,45.83,54.67
1.439,45.16,50.69,1.231,49.39,57.33,1.3173,47.01,55.33
1.4154,45.13,50.68,1.2222,49.27,57.42,1.313,47.16,55.52
1.4168,45.98,51.33,1.2109,50.28,58.08,1.305,47.83,55.94
1.3969,46.64,52.02,1.1984,52.1,59.38,1.298,48.58,56.36
1.3784,47.47,52.88,1.1884,53.2,60.41,1.2929,48.61,56.36
1.3691,47.71,52.91,1.1793,54.49,61.16,1.2861,49.62,56.9
1.367,48.04,53.45,1.169,55.16,61.9,1.2821,49.74,57.01
1.3497,48.4,53.72,1.1613,55.51,62.09,1.2772,50.03,57.2
1.3402,48.6,53.6,1.1543,55.88,62.18,1.2719,50.87,57.66
1.3274,49.2,54.32,1.147,56.34,62.75,1.2686,50.94,57.78
1.3243,49.76,54.51,1.1418,56.37,62.65,1.2658,51.09,57.89
1.311,49.66,54.78,1.133,57.64,63.87,1.261,51.69,58.35
1.3023,50.35,55.27,1.127,58.19,63.96,1.2574,52.2,58.66
1.2997,50.42,55.37,1.1198,58.41,64.15,1.2541,52.32,58.66
1.2805,50.91,55.68,1.1146,58.31,64.15,1.2523,52.34,58.74
1.2741,51.38,56.4,1.1082,59.1,64.71,1.2493,52.6,58.89
1.2695,51.98,56.69,1.1017,59.64,65.17,1.2463,52.94,59.12
1.266,51.81,56.72,1.0961,59.71,65.36,1.2439,52.92,59.08
1.2537,52.23,56.85,1.0916,60.14,65.55,1.242,53.1,59.16
1.2496,52.67,57.22,1.0861,60.09,65.55,1.2408,53.17,59.27
1.2484,52.2,56.92,1.0821,60.41,65.83,1.2382,53.4,59.43
1.2334,53.38,57.95,1.079,60.67,65.73,1.2356,53.35,59.23
1.231,53.88,58.37,1.0743,60.95,66.2,1.2358,53.36,59.39
1.2275,53.36,57.88,1.0685,61.47,66.57,1.2326,53.78,59.62
1.2169,54.05,58.51,1.0653,61.26,66.29,1.232,53.8,59.62
1.2123,54.25,58.71,1.0631,60.35,65.36,1.2323,53.62,59.62
1.2164,54.4,58.85,1.0585,61.13,66.11,1.2281,53.85,59.62
1.2154,54.25,58.85,1.056,60.73,65.64,1.2273,53.88,59.69
1.2036,54.99,59.2,1.0511,60.89,65.83,1.227,53.86,59.69
1.2061,54.85,59.3,1.0485,61.36,66.2,1.2244,54.24,59.89
1.2005,55.22,59.69,1.0442,61.44,66.29,1.2237,54.1,59.73
1.192,55.38,59.59,1.0426,61.4,66.2,1.2228,54.12,59.73
1.1874,55.75,60.04,1.039,61.5,66.39,1.2233,54.4,60.08
1.1958,54.69,59.08,1.0357,61.94,66.57,1.2214,54.12,59.66
1.1764,56.06,60.25,1.0327,62.04,66.67,1.2203,54.18,59.69
1.1768,55.82,60.03,1.0291,62.02,66.76,1.2198,54.42,59.92
1.1654,56.06,60.38,1.028,62.69,67.23,1.218,54.47,59.81
