train_losses,train_fscores,train_accs,val_losses,val_fscores,val_accs,test_losses,test_fscores,test_accs
1.7342,33.34,40.0,1.4859,31.77,47.53,1.473,35.03,48.77
1.5789,36.21,44.55,1.4483,40.39,49.29,1.48,40.53,46.97
1.5286,38.22,46.08,1.4216,41.03,50.38,1.4576,40.57,47.66
1.5002,38.89,46.93,1.4324,41.53,49.25,1.464,41.3,47.16
1.4774,40.19,47.47,1.4343,38.11,49.65,1.4382,39.66,50.11
1.4782,40.0,47.81,1.3923,40.92,50.42,1.4311,40.86,49.08
1.4559,40.87,47.95,1.4209,39.71,50.79,1.4426,39.73,49.35
1.4503,41.19,48.71,1.4369,44.98,48.3,1.5037,41.31,44.21
1.4575,41.18,47.99,1.39,43.15,50.6,1.4358,42.21,49.31
1.4308,41.47,48.52,1.3998,39.43,50.42,1.4324,40.14,50.04
1.4397,41.54,48.6,1.3984,40.04,51.12,1.4308,39.91,49.92
1.4211,41.34,48.91,1.397,42.81,50.16,1.4336,42.27,49.04
1.4189,42.08,49.06,1.3816,41.66,50.6,1.4305,41.85,49.85
1.4264,42.07,49.38,1.3933,40.98,51.23,1.4483,40.29,49.16
1.4188,41.85,49.09,1.3765,43.46,50.38,1.4385,42.06,48.35
1.4048,42.44,49.43,1.371,43.78,51.15,1.4432,42.2,48.74
1.4117,42.42,49.18,1.3835,41.09,50.79,1.445,40.55,49.0
1.3968,42.78,50.16,1.3868,43.02,50.75,1.4315,42.36,49.31
1.3999,42.61,49.48,1.3822,40.96,51.15,1.4395,40.48,49.43
1.3999,42.76,49.59,1.366,43.06,50.93,1.4437,42.12,49.04
1.3975,42.78,49.8,1.3762,43.88,51.45,1.4625,40.66,46.86
1.3847,43.6,50.54,1.3846,40.83,50.64,1.4316,40.88,49.85
1.3942,42.89,50.05,1.3794,41.5,51.23,1.4601,40.77,49.08
1.3956,42.75,49.93,1.372,41.86,50.71,1.4354,41.65,49.39
1.3893,43.82,50.47,1.3981,43.71,50.79,1.5142,39.81,45.06
1.3917,43.09,49.85,1.3815,42.93,51.52,1.4506,41.27,48.58
1.3916,43.51,50.34,1.3696,41.54,51.23,1.4418,40.77,49.27
1.382,44.07,50.71,1.3674,42.94,50.97,1.4392,41.74,48.77
1.3785,44.11,51.15,1.4058,42.51,50.53,1.4423,41.93,49.5
1.3841,43.33,50.03,1.3658,42.92,50.75,1.4347,42.13,49.39
1.3788,43.36,50.29,1.3759,43.19,51.41,1.4339,41.44,48.58
1.3674,44.1,50.76,1.3802,41.16,51.41,1.442,40.24,49.66
1.3781,44.43,51.07,1.38,42.29,51.66,1.4633,40.51,48.81
1.371,44.22,51.14,1.372,43.71,51.3,1.4322,42.07,49.08
1.3772,43.38,49.78,1.3679,43.38,51.26,1.4479,41.07,47.74
1.3792,43.69,50.28,1.3776,41.83,51.52,1.4686,39.91,48.08
1.3699,44.14,51.02,1.3649,44.57,51.08,1.4534,42.43,48.01
1.3614,44.5,51.07,1.3859,41.89,51.56,1.4474,40.9,49.35
1.3665,43.95,50.69,1.3852,41.22,51.41,1.4492,40.96,49.92
1.3707,44.58,50.93,1.3831,41.39,51.19,1.4432,40.8,49.81
1.3586,44.47,51.08,1.362,42.57,51.26,1.4377,41.57,49.66
1.3566,44.27,50.87,1.3661,42.88,51.34,1.4449,41.22,49.0
1.3543,44.98,51.57,1.3562,43.01,51.45,1.4457,41.4,48.93
1.3573,44.99,51.5,1.3627,43.74,51.52,1.444,41.45,48.28
1.3494,44.67,51.17,1.3594,45.16,51.74,1.448,42.33,48.31
1.3615,44.8,51.18,1.3575,42.86,51.37,1.4488,41.46,49.08
1.3444,44.92,51.6,1.3633,43.69,51.85,1.4477,41.01,48.58
1.3474,45.23,51.7,1.3688,42.84,51.23,1.4431,42.1,49.77
1.349,44.91,51.12,1.3601,44.75,51.52,1.4707,41.19,46.82
1.3416,45.69,51.82,1.3736,42.05,50.79,1.4386,42.06,50.0
1.3433,45.26,51.43,1.3859,41.36,51.41,1.4499,41.11,50.15
1.346,45.76,51.89,1.3738,43.16,51.23,1.4716,41.11,48.7
1.3456,45.22,51.42,1.3604,44.23,51.59,1.4531,41.52,48.16
1.3376,45.6,51.72,1.3843,44.0,51.26,1.4508,42.08,48.51
1.335,45.75,51.93,1.3594,43.28,51.85,1.4688,40.96,48.24
1.3477,45.18,51.44,1.391,43.13,49.76,1.5468,39.28,44.6
1.3324,45.88,51.85,1.3618,43.38,51.63,1.4762,40.59,47.47
1.3365,46.17,52.13,1.3631,43.79,51.15,1.4745,41.07,47.13
1.3375,45.88,51.74,1.3628,45.08,51.37,1.4663,41.97,48.05
1.3274,45.78,51.87,1.3614,42.95,51.3,1.4495,41.95,49.43
1.3229,45.86,51.88,1.3654,44.77,51.59,1.4874,40.36,45.94
1.3269,46.98,52.62,1.3765,43.42,51.04,1.5188,39.45,45.1
1.3279,45.51,51.51,1.3663,44.87,51.77,1.4758,40.56,46.21
1.3231,46.51,52.38,1.3627,44.54,51.45,1.4636,41.8,47.93
1.3261,46.31,52.12,1.3769,45.43,51.15,1.4765,41.33,46.4
1.3239,46.29,52.11,1.3622,44.13,51.77,1.4898,41.28,47.59
1.3093,46.63,52.29,1.3544,44.93,51.88,1.4727,41.76,47.78
1.3129,46.99,52.86,1.3693,44.66,51.15,1.4569,41.82,48.05
1.3112,46.85,52.53,1.3863,43.19,51.88,1.4874,41.0,48.39
1.3168,47.55,52.91,1.3777,42.77,51.85,1.4809,40.77,48.54
1.3059,47.19,53.17,1.3692,43.39,51.41,1.463,41.5,48.85
1.3205,47.48,52.71,1.381,42.58,51.7,1.4803,40.86,48.58
1.3058,46.65,52.53,1.3818,45.57,51.7,1.4766,41.71,47.05
1.3001,47.63,53.21,1.3762,42.52,51.48,1.489,40.85,48.54
1.3119,47.4,52.86,1.3875,42.3,51.56,1.4753,41.32,49.58
1.2925,47.61,52.97,1.3731,42.56,51.26,1.4836,41.08,48.28
1.2986,48.36,53.5,1.3845,44.38,51.26,1.5089,40.45,45.98
1.2946,47.74,53.07,1.3692,44.15,51.3,1.4788,42.12,48.01
1.2909,47.86,53.19,1.3646,45.52,51.37,1.4981,41.63,47.05
1.2945,47.9,53.05,1.374,44.11,51.81,1.4844,41.64,48.54
1.2931,47.95,53.29,1.3789,44.68,52.18,1.4936,41.21,47.51
1.2884,48.01,53.28,1.3757,45.98,52.14,1.4945,41.16,46.48
1.275,48.66,53.56,1.3841,44.2,51.92,1.5033,41.27,48.01
1.2868,48.36,53.32,1.3763,45.1,51.37,1.4935,41.56,47.05
1.281,48.93,53.77,1.3836,44.58,51.81,1.4945,41.4,47.74
1.2754,48.72,53.7,1.3852,43.53,51.26,1.497,40.98,48.05
1.2722,48.94,53.83,1.3717,45.52,51.52,1.4973,41.42,46.74
1.2718,49.25,53.93,1.4107,43.42,51.59,1.5064,41.49,48.58
1.2694,48.61,53.54,1.3915,44.56,50.93,1.5006,41.09,46.78
1.2793,48.23,53.15,1.3804,46.49,51.34,1.513,40.97,45.1
1.2705,49.36,54.02,1.3952,43.65,51.85,1.4896,41.3,48.97
1.2726,49.7,54.36,1.4035,43.42,51.74,1.5202,41.17,48.01
1.2506,49.15,53.99,1.4007,44.53,51.88,1.5148,40.98,47.24
1.2593,49.79,54.19,1.4146,43.25,51.08,1.5384,40.91,46.82
1.2633,50.2,54.62,1.416,42.7,51.34,1.5274,40.55,47.7
1.247,49.96,54.5,1.3837,45.19,51.77,1.5288,41.07,46.51
1.259,49.03,53.44,1.4095,45.16,50.24,1.562,39.91,44.25
1.2515,50.06,54.56,1.3879,44.76,51.85,1.5183,41.68,47.74
1.2482,49.43,54.07,1.391,44.92,51.81,1.5038,41.39,47.47
1.241,50.23,54.63,1.412,45.32,51.26,1.5233,41.53,46.4
